Servicio,Hombres,Mujeres
Agronomía,141,62
Veterinaria,49,78
"Arquitectura, Diseño y Urbanismo",184,291
Ciencias,45,49
Ingeniería,258,87
Química,33,105
Ciencias Económicas y de Administración,395,602
Ciencias Sociales,48,156
Derecho,249,669
Humanidades y Ciencias de la Educación,33,59
Información y Comunicación,33,64
Instituto Escuela Nacional de Bellas Artes,15,31
Escuela Universitaria de Música,5,3
Enfermería,16,170
Medicina,140,344
Odontología,27,178
Psicología,94,336
Escuela de Nutrición  ,4,28
Instituto Superior de Educación Física,110,80
