estudiante,"estudiante_ingresos","Al ingreso","ico-mujer.svg"
estudiante,"estudiante_activos","Estudiantes","ico-mujer.svg"
estudiante,"estudiante_de_grado","Grado","ico-mujer.svg"
estudiante,"estudiante_de_posgrado","Posgrado","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_A","Escalafon A","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_B","Escalafon B","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_C","Escalafon C","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_D","Escalafon D","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_E","Escalafon E","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_F","Escalafon F","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_Q","Escalafon Q","ico-mujer.svg"
funcionarie,"funcionarie_escalafon_R","Escalafon R","ico-mujer.svg"
docente,"docente_grado_1","Grado 1","ico-mujer.svg"
docente,"docente_grado_2","Grado 2","ico-mujer.svg"
docente,"docente_grado_3","Grado 3","ico-mujer.svg"
docente,"docente_grado_4","Grado 4","ico-mujer.svg"
docente,"docente_grado_5","Grado 5","ico-mujer.svg"
places,"hall","Hall","ico-mujer.svg"
places,"salones-comunes","Salones Comunes","ico-mujer.svg"
places,"salon-de-actos","Salón de actos","ico-mujer.svg"
places,"biblioteca","Biblioteca","ico-mujer.svg"
places,"aula-magna","Aula Magna","ico-mujer.svg"
places,"otro-especificar","Otro","ico-mujer.svg"
places,"edificio","Edificio","ico-mujer.svg"
places,"sala-de-reuniones","Sala de reuniones","ico-mujer.svg"
places,"laboratorio","Laboratorio","ico-mujer.svg"
places,"patio","Patio","ico-mujer.svg"
places,"explanada","Explanada","ico-mujer.svg"
places,"anfiteatro","Anfiteatro","ico-mujer.svg"
places,"instituto","Instituto","ico-mujer.svg"
places,"oficinas","Oficinas","ico-mujer.svg"
places,"taller","Taller","ico-mujer.svg"
places,"almacen","Almacén","ico-mujer.svg"
places,"terraza","Terraza","ico-mujer.svg"
places,"sala-de-exposición","Sala de Exposición","ico-mujer.svg"
places,"gimnasio","Gimnasio","ico-mujer.svg"
